lottery,smoker,drinker,gambler,skydiver,speeder,cheater,steakEater,doneness,gender,ageRange,income,education,location,state,visited,type,population,State,Abbreviation,steakDone,Location,Count,ageRange,countAge
Lottery A,No,Yes,No,No,No,No,Yes,Medium rare,Male,> 60,"$50,000 - $99,999",Some college or Associate degree,East North Central,Delaware,1,Rare,23,Alabama,AL,Rare,West South Central,0,> 60,131
Lottery A,No,Yes,Yes,No,Yes,Yes,Yes,Rare,Male,> 60,"$150,000+",Graduate degree,South Atlantic,Florida,1,Medium Rare,166,Alaska,AK,Rare,Pacific,5,18-29,110
Lottery B,Yes,Yes,Yes,No,Yes,Yes,Yes,Medium,Male,> 60,"$50,000 - $99,999",Bachelor degree,New England,Georgia,1,Medium,132,Arizona,AZ,Rare,Mountain,0,30-44,133
Lottery B,No,Yes,No,No,Yes,Yes,Yes,Medium,Male,> 60,"$50,000 - $99,999",Graduate degree,Middle Atlantic,Maryland,1,Medium Well,75,Arkansas,AR,Rare,West South Central,0,45-60,140
Lottery A,No,No,No,No,Yes,No,Yes,Medium rare,Male,18-29,"$0 - $24,999",Some college or Associate degree,West South Central,North Carolina,1,Well Done,36,California,CA,Rare,Pacific,5,,
Lottery A,No,Yes,No,No,Yes,Yes,No,,Male,> 60,"$150,000+",Graduate degree,New England,South Carolina,1,,,Colorado,CO,Rare,Mountain,0,,
Lottery A,No,Yes,Yes,Yes,Yes,No,Yes,Medium rare,Male,18-29,"$25,000 - $49,999",Some college or Associate degree,West North Central,Virgina,1,,,Connecticut,CT,Rare,New England,2,,
Lottery A,Yes,Yes,Yes,No,Yes,No,Yes,Medium,Male,18-29,"$50,000 - $99,999",Bachelor degree,East North Central,West Virgina,0,,,Delaware,DE,Rare,South Atlantic,5,,
Lottery B,No,Yes,Yes,No,No,No,Yes,Medium rare,Male,> 60,"$25,000 - $49,999",Some college or Associate degree,Pacific,"Washington, D.C.",0,,,District of Columbia,DC,Rare,South Atlantic,5,,
Lottery B,No,Yes,No,No,Yes,No,Yes,Medium rare,Male,> 60,"$50,000 - $99,999",High school degree,South Atlantic,Illinois,0,,,Florida,FL,Rare,South Atlantic,5,,
Lottery A,No,No,Yes,No,Yes,No,Yes,Medium rare,Male,18-29,"$100,000 - $149,999",Graduate degree,Middle Atlantic,Indiana,0,,,Georgia,GA,Rare,South Atlantic,5,,
Lottery B,No,Yes,Yes,Yes,Yes,No,Yes,Medium,Male,18-29,"$50,000 - $99,999",Bachelor degree,West South Central,Michigan,0,,,Hawaii,HI,Rare,Pacific,5,,
Lottery A,Yes,Yes,Yes,No,Yes,No,Yes,Rare,Male,18-29,"$50,000 - $99,999",Graduate degree,Pacific,Ohio,1,,,Idaho,ID,Rare,Mountain,0,,
Lottery B,No,Yes,No,Yes,Yes,No,Yes,Medium Well Done,Male,> 60,"$50,000 - $99,999",Bachelor degree,Pacific,Wisconsin,1,,,Illinois,IL,Rare,East North Central,1,,
Lottery A,No,Yes,No,No,Yes,No,Yes,Medium Well Done,Male,18-29,"$25,000 - $49,999",Some college or Associate degree,Mountain,Connecticut,1,,,Indiana,IN,Rare,East North Central,1,,
